name	gender	region	1920	1925	1930	1935	1940	1945	1950	1955	1960	1965	1970	1975	1980	1985	1990	1995	2000	2005	2010	2015	2020
IVO	boys	latvia	0	0	0	0	0	0	0	0	0	0	39	56	65	77	88	76	0	0	0	0	0
IZIDORS	boys	latvia	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JAKOVS	boys	latvia	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JAROSLAVS	boys	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0
JĀZEPS	boys	latvia	7	6	6	8	19	25	35	56	73	0	0	0	0	0	0	0	0	0	0	0	0
JEVGENIJS	boys	latvia	0	0	0	88	88	76	60	67	85	95	94	79	55	61	75	0	0	0	0	0	0
JEVGEŅIJS	boys	latvia	0	0	0	0	0	83	68	69	84	92	77	66	47	38	55	0	0	0	0	0	0
JEVGĒNIJS	boys	latvia	0	0	0	0	0	98	77	93	96	79	89	76	62	50	52	95	0	0	0	0	0
JOSIFS	boys	latvia	49	72	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JURIJS	boys	latvia	0	0	0	0	0	30	13	12	10	13	12	14	15	14	35	86	97	0	0	0	0
JURIS	boys	latvia	32	41	31	11	3	2	3	5	5	6	7	7	13	17	21	34	59	0	0	0	0
JŪLIJS	boys	latvia	69	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KASPARS	boys	latvia	0	0	0	0	0	0	0	0	0	0	29	11	8	9	10	17	49	58	77	0	0
