name	gender	region	1920	1925	1930	1935	1940	1945	1950	1955	1960	1965	1970	1975	1980	1985	1990	1995	2000	2005	2010	2015	2020
GINTA	girls	latvia	0	0	0	0	0	0	0	0	0	67	77	84	96	78	99	0	0	0	0	0	0
INA	girls	latvia	0	0	0	0	0	0	0	95	67	36	42	57	71	93	0	0	0	0	0	0	0
INĀRA	girls	latvia	0	0	98	43	25	10	6	5	6	12	33	63	0	0	0	0	0	0	0	0	0
INDRA	girls	latvia	0	0	0	0	0	0	81	67	61	43	63	87	66	68	0	0	0	0	0	0	0
INESE	girls	latvia	0	0	0	0	99	65	40	10	2	4	8	4	4	19	30	56	88	0	0	0	0
INETA	girls	latvia	0	0	0	0	0	0	0	0	45	22	29	46	59	99	0	0	0	0	0	0	0
INGA	girls	latvia	0	0	0	0	0	0	0	0	32	7	4	2	3	5	22	45	0	0	0	0	0
INGRĪDA	girls	latvia	0	0	0	0	0	59	57	41	27	32	50	69	0	0	0	0	0	0	0	0	0
INGUNA	girls	latvia	0	0	0	0	0	0	0	0	63	35	69	0	0	0	0	0	0	0	0	0	0
INGŪNA	girls	latvia	0	0	0	0	0	0	0	0	0	74	87	0	0	0	0	0	0	0	0	0	0
INITA	girls	latvia	0	0	0	0	0	0	0	0	76	38	47	78	82	0	0	0	0	0	0	0	0
INNA	girls	latvia	0	0	0	0	0	0	0	0	75	39	46	56	64	67	0	0	0	0	0	0	0
INTA	girls	latvia	0	0	44	21	27	15	15	14	16	23	40	52	63	85	0	0	0	0	0	0	0
IRĒNA	girls	latvia	62	50	30	16	9	8	16	12	18	30	39	60	86	0	0	0	0	0	0	0	0
IRINA	girls	latvia	72	72	70	67	62	52	33	11	7	8	11	13	13	14	26	72	0	0	0	0	0
IRĪNA	girls	latvia	0	0	0	0	0	0	0	0	0	0	0	93	0	0	0	0	0	0	0	0	0
IRMA	girls	latvia	29	37	51	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IVETA	girls	latvia	0	0	0	0	0	0	0	90	11	5	7	5	18	37	70	0	0	0	0	0	0
JADVIGA	girls	latvia	34	49	54	63	83	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
